misto;obyvatele;obyvatele_65
Praha;1324622;251351
Aš;17635;3179
Benešov;60244;11761
Beroun;63662;11116
Bílina;22469;3802
Bílovec;25548;4924
Blansko;56878;11680
Blatná;13650;3004
Blovice;12114;2511
Bohumín;33310;6542
Boskovice;51785;10254
Brandýs nad Labem-Stará Boleslav;110660;15949
Brno;379578;78395
Broumov;15936;3481
Bruntál;36371;7083
Břeclav;59502;11894
Bučovice;16081;3129
Bystřice nad Pernštejnem;19759;4176
Bystřice pod Hostýnem;15281;3237
Čáslav;25590;5132
Černošice;145738;22600
Česká Lípa;76588;13639
Česká Třebová;18048;3817
České Budějovice;160960;31041
Český Brod;21263;3608
Český Krumlov;41466;7720
Český Těšín;25735;4814
Dačice;18826;3863
Děčín;76755;16060
Dobruška;20221;4213
Dobříš;22801;4250
Domažlice;40521;8142
Dvůr Králové nad Labem;26921;6088
Frenštát pod Radhoštěm;19431;3771
Frýdek-Místek;111796;21341
Frýdlant;24374;4816
Frýdlant nad Ostravicí;24820;5057
Havířov;86983;18273
Havlíčkův Brod;52625;10638
Hlinsko;20975;4401
Hlučín;40485;7715
Hodonín;60716;11938
Holešov;21436;4250
Holice;17718;3379
Horažďovice;11578;2638
Horšovský Týn;14629;2741
Hořice;18328;3925
Hořovice;29807;5951
Hradec Králové;145711;31737
Hranice;33990;6567
Humpolec;17774;3737
Hustopeče;36093;6806
Cheb;49760;9595
Chomutov;81469;14359
Chotěboř;21815;4664
Chrudim;83085;16750
Ivančice;24252;4698
Jablonec nad Nisou;55979;11307
Jablunkov;22668;3858
Jaroměř;19251;3692
Jeseník;38153;8165
Jičín;47806;9765
Jihlava;100480;19342
Jilemnice;21947;4651
Jindřichův Hradec;46977;9841
Kadaň;43046;7866
Kaplice;19662;3305
Karlovy Vary;86894;18835
Karviná;64265;13339
Kladno;124521;23704
Klatovy;50466;10533
Kolín;82492;16515
Konice;10652;2324
Kopřivnice;40652;7709
Kostelec nad Orlicí;24802;5190
Králíky;8569;1800
Kralovice;22238;4695
Kralupy nad Vltavou;31969;5774
Kraslice;13126;2671
Kravaře;21269;3560
Krnov;40067;8525
Kroměříž;68450;14212
Kuřim;22947;4081
Kutná Hora;49587;10398
Kyjov;55338;11273
Lanškroun;23203;4404
Liberec;144437;28374
Lipník nad Bečvou;15151;2841
Litoměřice;58826;11313
Litomyšl;27079;5225
Litovel;23636;4838
Litvínov;37033;7624
Louny;43374;8352
Lovosice;27593;5707
Luhačovice;18676;3823
Lysá nad Labem;26401;3304
Mariánské Lázně;23876;5250
Mělník;44192;8535
Mikulov;20070;3821
Milevsko;18184;4311
Mladá Boleslav;111032;20134
Mnichovo Hradiště;17617;3314
Mohelnice;18220;3637
Moravská Třebová;26207;5342
Moravské Budějovice;23182;4731
Moravský Krumlov;22377;4477
Most;74702;13375
Náchod;60571;13202
Náměšť nad Oslavou;13430;2796
Nepomuk;11491;2575
Neratovice;31926;5706
Nová Paka;13285;2847
Nové Město na Moravě;19355;3977
Nové Město nad Metují;14125;3209
Nový Bor;26200;5576
Nový Bydžov;17345;3568
Nový Jičín;48763;9377
Nymburk;39804;7990
Nýřany;56734;10191
Odry;16827;3222
Olomouc;164045;31950
Opava;100817;19950
Orlová;37209;6608
Ostrava;320402;63560
Ostrov;27801;5301
Otrokovice;34122;7238
Pacov;9419;2207
Pardubice;129734;25828
Pelhřimov;44959;9472
Písek;52981;11136
Plzeň;191137;39643
Podbořany;15602;3006
Poděbrady;31083;6789
Pohořelice;14306;2508
Polička;19504;3884
Prachatice;33383;6350
Prostějov;97649;19748
Přelouč;25458;5004
Přerov;80430;17244
Přeštice;22566;4369
Příbram;69780;14211
Rakovník;55280;11289
Rokycany;48871;9893
Rosice;26078;5024
Roudnice nad Labem;32704;6541
Rožnov pod Radhoštěm;35075;7373
Rumburk;32711;6538
Rychnov nad Kněžnou;33817;6630
Rýmařov;15291;3445
Říčany;69931;10888
Sedlčany;21996;4587
Semily;25606;5487
Slaný;40219;7628
Slavkov u Brna;23530;4065
Soběslav;21867;4755
Sokolov;75130;14048
Stod;23185;4437
Strakonice;45126;9220
Stříbro;17045;3132
Sušice;24088;5390
Světlá nad Sázavou;19794;4252
Svitavy;31286;6365
Šlapanice;69443;12304
Šternberk;24140;4718
Šumperk;69013;14843
Tábor;80304;16907
Tachov;36464;6262
Tanvald;20325;4373
Telč;12923;2687
Teplice;105808;20795
Tišnov;31387;6121
Trhové Sviny;19039;3545
Trutnov;63363;13282
Třebíč;74387;14781
Třeboň;24705;5444
Třinec;54385;10883
Turnov;33247;7023
Týn nad Vltavou;14063;2515
Uherské Hradiště;89977;18189
Uherský Brod;52084;10741
Uničov;22419;4443
Ústí nad Labem;118932;23556
Ústí nad Orlicí;26302;5516
Valašské Klobouky;23107;4188
Valašské Meziříčí;41590;8113
Varnsdorf;19876;4041
Velké Meziříčí;36236;6479
Veselí nad Moravou;37832;7970
Vimperk;17414;3446
Vítkov;13262;2660
Vizovice;17013;2980
Vlašim;25754;5536
Vodňany;11752;2187
Votice;12408;2590
Vrchlabí;27608;5837
Vsetín;65478;12924
Vysoké Mýto;32342;6521
Vyškov;51832;10023
Zábřeh;33091;6700
Zlín;99066;21317
Znojmo;91435;17625
Žamberk;29418;5542
Žatec;27234;5114
Žďár nad Sázavou;42620;8574
Železný Brod;12141;2752
Židlochovice;33382;5730
